OCCP_name,code,count,count_P,income_security
"Sales Assistants (General)",6211,101821,0.0436918991843572,0.036
"Accountants",2211,56112,0.0240779391975393,0.25
"Advertising, Public Relations and Sales Managers",1311,50219,0.0215492234916101,0.445
"General Clerks",5311,44719,0.0191891460467415,0.127
"Registered Nurses",2544,41612,0.0178559168428858,0.226
"Retail Managers",1421,38367,0.0164634711504133,0.196
"Software and Applications Programmers",2613,35436,0.0152057644247933,0.281
"Secondary School Teachers",2414,34730,0.0149028163018702,0.273
"Primary School Teachers",2412,33585,0.0144114910883476,0.222
"Advertising and Marketing Professionals",2251,33042,0.0141784870787905,0.262
"Receptionists",5421,32513,0.0139514905390932,0.087
"Contract, Program and Project Administrators",5111,31559,0.013542124378656,0.263
"Management and Organisation Analysts",2247,29847,0.0128074966358169,0.277
"ICT Managers",1351,28349,0.0121646973608327,0.57
"Sales Representatives",6113,27735,0.0119012268969873,0.236
"Office Managers",5121,27048,0.0116064317688738,0.182
"Child Carers",4211,26451,0.011350256089858,0.073
"Solicitors",2713,26284,0.011278595556532,0.299
"Waiters",4315,26146,0.0112193790679153,0.014
"Construction Managers",1331,25254,0.0108366174168566,0.336
"Chief Executives and Managing Directors",1111,24187,0.0103787623925521,0.477
"Accounting Clerks",5511,23646,0.010146616592975,0.162
"Real Estate Sales Agents",6121,22194,0.00952355614752973,0.173
"Finance Managers",1322,20784,0.00891851811166342,0.549
"Carpenters and Joiners",3312,19763,0.00848040191689781,0.142
"Bar Attendants and Baristas",4311,19174,0.00822765907780188,0.014
"General Managers",1112,19005,0.00815514033449592,0.494
"Electricians",3411,18664,0.00800881553291407,0.224
"Chefs",3513,18471,0.00792599826984868,0.129
"Human Resource Professionals",2231,18466,0.0079238527448988,0.306
"Generalist Medical Practitioners",2531,18088,0.00776165105868783,0.305
"Personal Assistants",5211,18078,0.00775736000878807,0.238
"University Lecturers and Tutors",2421,17769,0.00762476656688545,0.197
"Bookkeepers",5512,17552,0.00753165078406064,0.051
"Human Resource Managers",1323,16585,0.00711670625875374,0.516
"Checkout Operators and Office Cashiers",6311,16298,0.0069935531266306,0.026
"Kitchenhands",8513,15957,0.00684722832504875,0.042
"Graphic and Web Designers, and Illustrators",2324,15782,0.00677213495180293,0.135
"Storepersons",7411,15654,0.00671720951308599,0.111
"Aged and Disabled Carers",4231,15330,0.00657817949633373,0.079
"Other Specialist Managers",1399,15291,0.00656144440172466,0.458
"Purchasing and Supply Logistics Clerks",5911,15148,0.00650008238815808,0.204
"Other Hospitality, Retail and Service Managers",1499,14595,0.00626278732870129,0.316
"Cafe and Restaurant Managers",1411,14515,0.0062284589295032,0.084
"Professionals",2000,14304,0.00613791777661824,NaN
"Financial Investment Advisers and Managers",2223,14046,0.00602720868920441,0.475
"Commercial Cleaners",8112,13811,0.00592636901656002,0.05
"Bank Workers",5521,13271,0.00569465232197292,0.193
"Plumbers",3341,13202,0.00566504407766457,0.164
"Architectural, Building and Surveying Technicians",3121,12929,0.00554789841540109,0.301
"Sports Coaches, Instructors and Officals",4523,12760,0.00547537967209513,0.014
"ICT Support Technicians",3131,12711,0.0054543535275863,0.218
"Private Tutors and Teachers",2492,12196,0.00523336445774861,0.002
"Managers - NFI",1000,12028,0.00516127481943262,NaN
"Truck Drivers",7331,11953,0.00512909194518441,0.196
"Inquiry Clerks",5412,11859,0.00508875607612666,0.169
"Civil Engineering Professionals",2332,11449,0.00491282303023645,0.365
"Call or Contact Centre and Customer Service Managers",1492,11408,0.00489522972564743,0.384
"Nursing Support and Personal Care Workers",4233,10923,0.00468711380550902,0.105
"ICT Business and Systems Analysts",2611,10881,0.00466909139593003,0.387
"Secretaries",5212,10748,0.0046120204322632,0.132
"Supply and Distribution Managers",1336,10411,0.00446741205064125,0.448
"Gardeners",3622,10209,0.00438073284266608,0.054
"Motor Mechanics",3212,10176,0.00436657237799687,0.194
"Architects and Landscape Architects",2321,10112,0.0043391096586384,0.273
"Police",4413,9938,0.00426444539038256,0.384
"Education Aides",4221,9917,0.00425543418559306,0.106
"Hairdressers",3911,9779,0.00419621769697635,0.073
"Production Managers",1335,9625,0.00413013552852003,0.425
"Keyboard Operators",5321,9613,0.00412498626864032,0.117
"Specialist Managers",1300,9109,0.00390871735369236,NaN
"Journalists and Other Writers",2124,8808,0.00377955675170955,0.25
"Financial Brokers",2221,8689,0.0037284932579024,0.241
"Fitness Instructors",4521,8656,0.00371433279323319,0.007
"Financial Dealers",2222,8539,0.00366412750940598,0.551
"Technical Sales Representatives",2254,8353,0.00358431398127043,0.368
"Other Miscellaneous Labourers",8999,8239,0.00353539601241315,0.05
"Psychologists",2723,8098,0.00347489220882652,0.154
"Conference and Event Organisers",1493,8071,0.00346330637409716,0.172
"ICT Sales Professionals",2252,7966,0.00341825035014967,0.519
"Welfare Support Workers",4117,7955,0.00341353019525993,0.177
"ICT Professionals",2600,7929,0.00340237346552056,NaN
"Database and Systems Administrators, and ICT Security Specialists",2621,7874,0.00337877269107187,0.35
"Computer Network Professionals",2631,7639,0.00327793301842748,0.338
