OCCP_name,code,count,count_P,income_security
"Sales Assistants (General)",6211,107575,0.0560421017754784,0.036
"Storepersons",7411,39951,0.0208128097423392,0.111
"Registered Nurses",2544,38311,0.0199584379374423,0.226
"General Clerks",5311,38042,0.0198183001231025,0.127
"Child Carers",4211,35793,0.0186466646418749,0.073
"Truck Drivers",7331,35258,0.0183679518884482,0.196
"Retail Managers",1421,33157,0.0172734182530285,0.196
"Receptionists",5421,29275,0.0152510576758274,0.087
"Accountants",2211,26392,0.0137491345578287,0.25
"Commercial Cleaners",8112,26378,0.013741841139982,0.05
"Aged and Disabled Carers",4231,25248,0.0131531581280714,0.079
"Carpenters and Joiners",3312,23765,0.0123805767947408,0.142
"Kitchenhands",8513,23575,0.012281594695393,0.042
"Accounting Clerks",5511,23486,0.0122352293962248,0.162
"Primary School Teachers",2412,23213,0.0120930077482145,0.222
"Checkout Operators and Office Cashiers",6311,21265,0.0110781807506907,0.026
"Electricians",3411,20821,0.0108468752132674,0.224
"Forklift Drivers",7213,20279,0.0105645157509173,0.134
"Nursing Support and Personal Care Workers",4233,20199,0.0105228390775077,0.105
"Secondary School Teachers",2414,20117,0.0104801204872628,0.273
"Motor Mechanics",3212,19207,0.0100060483272286,0.194
"Office Managers",5121,19084,0.0099419704418613,0.182
"Waiters",4315,19081,0.00994040756660844,0.014
"Chefs",3513,18020,0.00938767068551355,0.129
"Purchasing and Supply Logistics Clerks",5911,17570,0.00915323939758452,0.204
"Packers",8321,17295,0.00900997583273901,0.086
"Sales Representatives",6113,17213,0.00896725724249416,0.236
"Plumbers",3341,16960,0.00883545476283628,0.164
"Software and Applications Programmers",2613,16239,0.00845984374373222,0.281
"Advertising, Public Relations and Sales Managers",1311,15021,0.00782531639107098,0.445
"Contract, Program and Project Administrators",5111,14629,0.00762110069136392,0.263
"Construction Managers",1331,14519,0.00756379526542571,0.336
"Bookkeepers",5512,13668,0.00712045965203103,0.051
"Automobile Drivers",7311,13418,0.00699022004762602,0.009
"Inquiry Clerks",5412,13219,0.00688654932251963,0.169
"Security Officers and Guards",4422,13129,0.00683966306493382,0.132
"Bar Attendants and Baristas",4311,12954,0.00674849534185031,0.014
"Education Aides",4221,12127,0.00631766273047852,0.106
"Bank Workers",5521,11705,0.00609781827824285,0.193
"Building and Plumbing Labourers",8211,11704,0.00609729731982523,0.125
"Real Estate Sales Agents",6121,10889,0.00567271620946488,0.173
"Other Miscellaneous Labourers",8999,10722,0.00558571615372233,0.05
"Keyboard Operators",5321,10687,0.00556748260910562,0.117
"Architectural, Building and Surveying Technicians",3121,10532,0.00548673405437451,0.301
"Metal Fitters and Machinists",3232,10469,0.00545391367406445,0.317
"Hairdressers",3911,10378,0.00540650645806102,0.073
"Painting Trades Workers",3322,10284,0.00535753636680474,0.054
"Product Assemblers",8322,10146,0.00528564410517317,0.135
"Production Managers",1335,10125,0.00527470397840315,0.425
"ICT Support Technicians",3131,10056,0.00523875784758736,0.218
