isec_bins,bin_count,bin_P,bin_names,max_count
0.025,119066,0.0620284349523505,"Waiters",19081
0.05,188700,0.0983048534049061,"Sales Assistants (General)",107575
0.075,124037,0.0646181192463399,"Child Carers",35793
0.1,126130,0.0657084852144187,"Receptionists",29275
0.125,131482,0.0684966546655213,"Storepersons",39951
0.15,198884,0.103610293929949,"General Clerks",38042
0.175,117167,0.06103913491729,"Accounting Clerks",23486
0.2,168076,0.0875606069999099,"Truck Drivers",35258
0.225,133330,0.0694593858212831,"Primary School Teachers",23213
0.25,103474,0.0539056513048185,"Registered Nurses",38311
0.275,98521,0.0513253442623463,"Accountants",26392
0.3,40586,0.0211436183375279,"Software and Applications Programmers",16239
0.325,52626,0.0274159576856735,"Architectural, Building and Surveying Technicians",10532
0.35,41448,0.0215926844935164,"Construction Managers",14519
0.375,17720,0.00923138316022753,"Civil Engineering Professionals",4854
0.4,24510,0.0127686908158678,"Police",8090
0.425,18663,0.00972264694804325,"Production Managers",10125
0.45,23333,0.012155522758329,"Advertising, Public Relations and Sales Managers",15021
0.475,15893,0.00827959213123568,"Other Specialist Managers",7987
0.5,19916,0.0103754078453212,"General Managers",5951
0.525,9758,0.00508351223913658,"Human Resource Managers",5928
0.55,7471,0.0038920803380395,"Finance Managers",6021
0.575,11810,0.00615251891209296,"ICT Managers",9544
0.6,0,0,"none",0
0.625,1135,0.000591287803998773,"Research and Development Managers",1082
0.65,1221,0.000636090227914098,"Air Transport Professionals",930
0.675,1811,0.000943455694309936,"Engineering Managers",1811
0.7,0,0,"none",0
0.725,0,0,"none",0
0.75,920,0.000479281744210459,"Other Medical Practitioners",792
0.775,0,0,"none",0
0.8,0,0,"none",0
0.825,0,0,"none",0
0.85,0,0,"none",0
0.875,81,4.21976318272252e-05,"Anaesthetists",81
0.9,0,0,"none",0
0.925,0,0,"none",0
0.95,0,0,"none",0
0.975,0,0,"none",0
1,0,0,"none",0
