OCCP4dig,log_income_security,wfh_classification
1111,-0.740238788093796,1
1212,-2.48891467118554,0
1213,-3.50655789731998,0
1311,-0.809680996815897,1
1321,-0.627359440021942,1
1322,-0.599656837472606,1
1323,-0.661648513500574,1
1324,-0.736054681571222,1
1325,-0.491022996469811,1
1331,-1.09064411901893,0
1332,-0.41703174447963,1
1333,-1.78379129957888,1
1334,-2.04022082852655,0
1335,-0.85566611005772,0
1336,-0.802962046567152,1
1341,-1.46533756846034,0
1342,-0.865122445299756,1
1343,-0.725670372265505,1
1344,-0.832409247893453,1
1351,-0.562118918153541,1
1391,-0.750776293396582,1
1399,-0.780886094867952,1
1411,-2.47693848013882,0
1412,-2.70306265959117,1
1413,-1.53711725085447,0
1414,-1.95192822138088,0
1419,-2.67364877438488,0
1421,-1.62964061975162,1
1491,-1.79576749062559,0
1492,-0.95711272639441,1
1493,-1.76026080216868,1
1494,-1.39432653281715,1
1499,-1.15201306539522,1
2111,-4.07454193492592,0
2122,-1.97328134585145,1
2123,-1.48280526150073,1
2124,-1.38629436111989,1
2211,-1.38629436111989,1
2212,-1.10866262452161,1
2221,-1.42295834549148,1
2222,-0.596020469829223,1
2223,-0.744440474947496,1
2231,-1.18417017702976,1
2232,-1.55116900431012,1
2233,-1.30933331998376,1
2241,-0.975510091534126,1
2242,-1.32802545299591,1
2243,-1.45671682541644,1
2245,-1.17441400208439,1
2246,-1.50959257746438,1
2247,-1.2837377727948,1
2249,-1.07294454191953,1
2251,-1.33941077522104,1
2252,-0.655851395816248,1
2253,-1.35479569406052,1
2254,-0.999672340813206,1
2311,-0.462035459596559,0
2312,-1.16155208844198,0
2321,-1.29828348379718,1
2322,-1.20731170559145,1
2323,-2.00248050054371,1
2324,-2.00248050054371,1
2325,-1.93794197940614,1
2326,-1.18744350237473,1
2332,-1.00785792539965,1
2333,-0.903868211875598,1
2334,-0.814185508937001,1
2335,-0.986176859338322,0
2336,-0.492658319810542,0
2339,-1.09362474715707,1
2341,-1.41469383564159,1
2342,-1.11474167059799,0
2343,-1.46967597005894,1
2344,-0.983499481567605,1
2345,-1.54177926396029,1
2346,-1.30933331998376,1
2347,-1.79576749062559,0
2411,-1.65548185093551,1
2412,-1.50507789710986,1
2413,-1.82635091399767,1
2414,-1.29828348379718,1
2415,-1.08470938349912,1
2421,-1.62455155024415,1
2422,-1.57021719928082,1
2491,-1.29462717259407,1
2492,-6.21460809842219,1
2493,-2.84731226843572,1
2511,-1.6094379124341,0
2512,-1.17118298150295,0
2513,-1.15836229307388,0
2514,-1.99510039324608,0
2515,-1.63989711991881,0
2519,-1.34707364796661,0
2521,-3.32423634052603,0
2523,-1.80180980508156,0
2524,-1.74869997976761,0
2525,-1.62964061975162,0
2526,-2.05572501506252,0
2531,-1.18744350237473,0
2532,-0.162518929497775,0
