code4,income_security,security_score,wage
1111,0.477,0.842,0.567
1112,0.494,0.955,0.518
1113,0,0.333,0
1211,0,0,0
1212,0.083,0.257,0.324
1213,0.03,0.098,0.31
1214,0,0.13,0
1311,0.445,0.935,0.476
1321,0.534,1,0.534
1322,0.549,0.952,0.576
1323,0.516,0.962,0.537
1324,0.479,1,0.479
1325,0.612,1,0.612
1331,0.336,0.722,0.465
1332,0.659,1,0.659
1333,0.168,0.533,0.315
1334,0.13,0.414,0.315
1335,0.425,0.927,0.458
1336,0.448,0.964,0.465
1341,0.231,0.938,0.247
1342,0.421,0.974,0.432
1343,0.484,1,0.484
1344,0.435,0.897,0.485
1351,0.57,0.915,0.624
1391,0.472,0.875,0.539
1392,0,1,0
1399,0.458,0.963,0.476
1411,0.084,0.353,0.238
1412,0.067,0.4,0.168
1413,0.215,0.833,0.257
1414,0.142,0.5,0.283
1419,0.069,0.182,0.38
1421,0.196,0.72,0.272
1491,0.166,0.667,0.248
1492,0.384,1,0.384
1493,0.172,0.64,0.269
1494,0.248,0.667,0.371
1499,0.316,0.862,0.366
2111,0.017,0.091,0.191
2112,0,0,0.134
2113,0,0,0.24
2114,0,0,0.209
2121,0.25,0.667,0.375
2122,0.139,0.5,0.279
2123,0.227,0.846,0.268
2124,0.25,0.792,0.315
2211,0.25,0.867,0.288
2212,0.33,0.889,0.371
2221,0.241,0.632,0.381
2222,0.551,0.947,0.581
2223,0.475,1,0.475
2231,0.306,0.944,0.324
2232,0.212,0.75,0.283
2233,0.27,0.857,0.314
2241,0.377,0.923,0.408
2242,0.265,1,0.265
2243,0.233,0.5,0.465
2244,0.328,0.968,0.339
2245,0.309,0.9,0.343
2246,0.221,0.818,0.27
2247,0.277,0.685,0.405
2249,0.342,1,0.342
2251,0.262,0.818,0.32
2252,0.519,0.905,0.573
2253,0.258,0.87,0.296
2254,0.368,1,0.368
2311,0.63,1,0.63
2312,0.313,0.75,0.418
2321,0.273,0.864,0.316
2322,0.299,0.917,0.326
2323,0.135,0.5,0.271
2324,0.135,0.6,0.224
2325,0.144,0.6,0.24
2326,0.305,0.813,0.376
2331,0.479,0.8,0.599
2332,0.365,0.943,0.387
2333,0.405,0.923,0.438
2334,0.443,1,0.443
2335,0.373,0.75,0.497
2336,0.611,1,0.611
2339,0.335,0.833,0.402
2341,0.243,0.6,0.406
2342,0.328,0.889,0.369
2343,0.23,0.75,0.307
2344,0.374,0.833,0.448
2345,0.214,0.727,0.294
2346,0.27,0.818,0.329
2347,0.166,0.7,0.237
2349,0.195,0.692,0.282
2411,0.191,0.846,0.225
2412,0.222,0.887,0.25
2413,0.161,0.5,0.322
2414,0.273,0.888,0.307
2415,0.338,0.973,0.347
2421,0.197,0.586,0.336
2422,0.208,0.742,0.28
2491,0.274,0.833,0.328
2492,0.002,0.03,0.059
2493,0.058,0.286,0.204
2511,0.2,0.75,0.267
2512,0.31,0.833,0.372
2513,0.314,0.905,0.347
2514,0.136,0.5,0.273
2515,0.194,0.696,0.279
2519,0.26,0.833,0.312
2521,0.036,0.167,0.219
2522,0,0,0
2523,0.165,0.429,0.384
2524,0.174,0.75,0.232
2525,0.196,0.8,0.245
2526,0.128,0.6,0.214
2527,0.13,0.692,0.188
2531,0.305,0.594,0.514
2532,0.85,0.857,0.991
2533,0.631,1,0.631
