"state","date","value"
"NSW",2019-09-02,73953943.2943838
"NSW",2019-09-03,66400190.7949948
"NSW",2019-09-04,44641107.9370366
"NSW",2019-09-05,61532287.9927466
"NSW",2019-09-06,60131050.2455973
"NSW",2019-09-07,150151442.85188
"NSW",2019-09-08,151307311.180535
"NSW",2019-09-09,79285565.1054506
"NSW",2019-09-10,71003326.0359258
"NSW",2019-09-11,46248696.3510516
"NSW",2019-09-12,44202466.5482266
"NSW",2019-09-13,70389463.450887
"NSW",2019-09-14,140960136.288714
"NSW",2019-09-15,145426471.245686
"NSW",2019-09-16,78196109.6096095
"NSW",2019-09-17,91230113.8911846
"NSW",2019-09-18,59671204.9329516
"NSW",2019-09-19,55981556.2801817
"NSW",2019-09-20,66879100.2669915
"NSW",2019-09-21,150238971.746684
"NSW",2019-09-22,152518269.60804
"NSW",2019-09-23,74835208.7723554
"NSW",2019-09-24,66490847.9598718
"NSW",2019-09-25,58441662.659518
"NSW",2019-09-27,71288402.7674491
"NSW",2019-09-28,138223626.991526
"NSW",2019-09-29,140557808.096533
"NSW",2019-09-30,123061210.795515
"NSW",2019-10-01,94944521.1771608
"NSW",2019-10-02,94158544.38167
"NSW",2019-10-03,90782290.5040207
"NSW",2019-10-04,110125975.571463
"NSW",2019-10-05,152879480.914306
"NSW",2019-10-06,121704873.236123
"NSW",2019-10-07,139994860.551682
"NSW",2019-10-08,117980664.116721
"NSW",2019-10-09,103779025.189031
"NSW",2019-10-10,104218210.986622
"NSW",2019-10-11,110955969.059789
"NSW",2019-10-12,148074373.69751
"NSW",2019-10-13,150922794.60015
"NSW",2019-10-14,79891935.9219216
"NSW",2019-10-15,58658331.1705199
"NSW",2019-10-16,29641044.4373091
"NSW",2019-10-17,50323631.9363486
"NSW",2019-10-18,61241754.3657912
"NSW",2019-10-19,140205479.729868
"NSW",2019-10-20,143891446.169947
"NSW",2019-10-21,72406664.881426
"NSW",2019-10-22,63189359.7659334
"NSW",2019-10-23,53329159.6109901
"NSW",2019-10-24,54480797.5815731
"NSW",2019-10-25,72709768.7191851
"NSW",2019-10-26,147800442.625607
"NSW",2019-10-27,145339400.746578
"NSW",2019-10-28,72005312.3244892
"NSW",2019-10-29,66321790.7811969
"NSW",2019-10-30,60417197.7962392
"NSW",2019-10-31,64343283.0946022
"NSW",2019-11-01,71488307.5659024
"NSW",2019-11-02,145647442.267424
"NSW",2019-11-03,161794772.510023
"NSW",2019-11-04,80571299.7688773
"NSW",2019-11-05,75466077.9447304
"NSW",2019-11-06,77487927.445754
"NSW",2019-11-07,69195554.4748992
"NSW",2019-11-08,73668654.8630729
"NSW",2019-11-09,143014565.824251
"NSW",2019-11-10,153664113.135611
"NSW",2019-11-11,71676126.4082898
