"state","date","value"
"NSW",2019-09-02,12460644.6438535
"NSW",2019-09-03,11948150.4434654
"NSW",2019-09-04,11939042.523055
"NSW",2019-09-05,11874724.5552193
"NSW",2019-09-06,12235128.9519269
"NSW",2019-09-07,15761234.7679209
"NSW",2019-09-08,16322379.0286988
"NSW",2019-09-09,12785362.8969167
"NSW",2019-09-10,12160313.5619443
"NSW",2019-09-11,12027667.6088603
"NSW",2019-09-12,12196768.1325217
"NSW",2019-09-13,12305980.3763586
"NSW",2019-09-14,15411940.6149864
"NSW",2019-09-15,15821687.5109148
"NSW",2019-09-16,12661739.9474796
"NSW",2019-09-17,12810801.9634977
"NSW",2019-09-18,12605313.3552221
"NSW",2019-09-19,12219752.7009844
"NSW",2019-09-20,12407822.6912772
"NSW",2019-09-21,16434687.691712
"NSW",2019-09-22,16075598.9420638
"NSW",2019-09-23,12682032.9581879
"NSW",2019-09-24,12260572.9767929
"NSW",2019-09-25,12358323.574283
"NSW",2019-09-27,13321130.6541296
"NSW",2019-09-28,15837541.1824504
"NSW",2019-09-29,15973102.2138382
"NSW",2019-09-30,15549455.1690928
"NSW",2019-10-01,15521526.55666
"NSW",2019-10-02,14909501.5646249
"NSW",2019-10-03,14282242.5384238
"NSW",2019-10-04,14775709.4836532
"NSW",2019-10-05,15868987.1251477
"NSW",2019-10-06,14742308.4253348
"NSW",2019-10-07,15555580.0129253
"NSW",2019-10-08,14671392.0171683
"NSW",2019-10-09,14393696.8048922
"NSW",2019-10-10,14324947.6440118
"NSW",2019-10-11,14911686.0872601
"NSW",2019-10-12,16428951.4527202
"NSW",2019-10-13,16368219.4471541
"NSW",2019-10-14,12965097.555615
"NSW",2019-10-15,12317463.0392845
"NSW",2019-10-16,12476570.2702009
"NSW",2019-10-17,12102335.0465759
"NSW",2019-10-18,12033967.8789742
"NSW",2019-10-19,15525054.9885242
"NSW",2019-10-20,15886859.2174958
"NSW",2019-10-21,12509301.6874626
"NSW",2019-10-22,12289017.8727524
"NSW",2019-10-23,12245278.3289642
"NSW",2019-10-24,12046202.0990177
"NSW",2019-10-25,13287368.6004341
"NSW",2019-10-26,16675774.3058765
