"state","date","value"
"NSW",2019-09-02,4510299.68704602
"NSW",2019-09-03,4243259.24878503
"NSW",2019-09-04,3651368.09803075
"NSW",2019-09-05,4030453.89661182
"NSW",2019-09-06,4225816.91539045
"NSW",2019-09-07,7891582.87370544
"NSW",2019-09-08,8149206.87601005
"NSW",2019-09-09,4825058.23842833
"NSW",2019-09-10,4460476.22553838
"NSW",2019-09-11,3622583.65387327
"NSW",2019-09-12,3728430.18073245
"NSW",2019-09-13,4492141.24966615
"NSW",2019-09-14,7382638.39544426
"NSW",2019-09-15,7633429.2145795
"NSW",2019-09-16,4752097.63829429
"NSW",2019-09-17,5115729.65965994
"NSW",2019-09-18,4266992.49523509
"NSW",2019-09-19,4120350.91305207
"NSW",2019-09-20,4194139.41673236
"NSW",2019-09-21,7812124.40353823
"NSW",2019-09-22,7453965.40658244
"NSW",2019-09-23,4576372.67045345
"NSW",2019-09-24,4151190.44052459
"NSW",2019-09-25,3995775.97567331
"NSW",2019-09-27,4960312.13000055
"NSW",2019-09-28,7489547.62461393
"NSW",2019-09-29,7516933.7567925
"NSW",2019-09-30,7392551.22899823
"NSW",2019-10-01,6772352.55433525
"NSW",2019-10-02,6136135.93701382
"NSW",2019-10-03,5982054.93779826
"NSW",2019-10-04,6670227.75258008
"NSW",2019-10-05,7766723.01304871
"NSW",2019-10-06,5998012.19101182
"NSW",2019-10-07,7263297.33809172
"NSW",2019-10-08,6516675.43672386
"NSW",2019-10-09,6147882.78588964
"NSW",2019-10-10,6194427.41307126
"NSW",2019-10-11,6465170.42360059
"NSW",2019-10-12,7667304.52150881
"NSW",2019-10-13,7683253.47516143
"NSW",2019-10-14,4730586.81521741
"NSW",2019-10-15,3931033.92679859
"NSW",2019-10-16,3383314.68869104
"NSW",2019-10-17,3851926.27086456
"NSW",2019-10-18,4182043.65827252
"NSW",2019-10-19,7560578.6007898
"NSW",2019-10-20,7752102.96182117
"NSW",2019-10-21,4566334.36748577
"NSW",2019-10-22,4399524.27278191
"NSW",2019-10-23,4078598.91483834
"NSW",2019-10-24,4065318.68407414
"NSW",2019-10-25,5080427.85229299
"NSW",2019-10-26,8072255.407143
"NSW",2019-10-27,8082967.06467063
"NSW",2019-10-28,4800731.86199269
