date,cases
2020-01-25,3
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,3
2020-03-03,6
2020-03-04,6
2020-03-05,4
2020-03-06,7
2020-03-07,2
2020-03-08,7
2020-03-09,13
2020-03-10,6
2020-03-11,16
2020-03-12,14
2020-03-13,19
2020-03-14,20
2020-03-15,38
2020-03-16,29
2020-03-17,64
2020-03-18,45
2020-03-19,56
2020-03-20,88
2020-03-21,122
2020-03-22,121
2020-03-23,177
2020-03-24,192
2020-03-25,206
2020-03-26,185
2020-03-27,213
2020-03-28,143
2020-03-29,124
2020-03-30,90
2020-03-31,131
2020-04-01,124
2020-04-02,92
2020-04-03,106
2020-04-04,73
2020-04-05,63
2020-04-06,40
2020-04-07,44
2020-04-08,45
2020-04-09,41
2020-04-10,30
2020-04-11,18
2020-04-12,10
2020-04-13,7
2020-04-14,21
2020-04-15,22
2020-04-16,22
2020-04-17,15
2020-04-18,17
2020-04-19,7
2020-04-20,2
2020-04-21,6
2020-04-22,3
2020-04-23,8
2020-04-24,14
2020-04-25,3
2020-04-26,1
2020-04-27,5
2020-04-28,10
2020-04-29,3
2020-04-30,15
2020-05-01,2
2020-05-02,2
2020-05-03,1
2020-05-04,4
2020-05-05,5
2020-05-06,3
2020-05-07,2
2020-05-08,4
2020-05-09,1
2020-05-10,1
2020-05-11,0
2020-05-12,5
2020-05-13,4
2020-05-14,3
2020-05-15,2
2020-05-16,0
2020-05-17,1
2020-05-18,2
2020-05-19,4
2020-05-20,1
2020-05-21,3
2020-05-22,0
2020-05-23,1
2020-05-24,1
2020-05-25,2
2020-05-26,0
2020-05-27,1
2020-05-28,2
2020-05-29,1
2020-05-30,2
2020-05-31,5
2020-06-01,4
2020-06-02,1
2020-06-03,2
2020-06-04,3
2020-06-05,0
2020-06-06,1
2020-06-07,3
2020-06-08,1
2020-06-09,3
2020-06-10,0
2020-06-11,3
2020-06-12,3
2020-06-13,9
2020-06-14,6
2020-06-15,0
2020-06-16,0
2020-06-17,2
2020-06-18,7
2020-06-19,1
2020-06-20,6
2020-06-21,1
2020-06-22,1
2020-06-23,10
2020-06-24,4
2020-06-25,6
2020-06-26,5
2020-06-27,10
2020-06-28,3
2020-06-29,6
2020-06-30,11
2020-07-01,6
2020-07-02,5
2020-07-03,8
2020-07-04,12
2020-07-05,8
2020-07-06,13
2020-07-07,6
2020-07-08,13
2020-07-09,9
2020-07-10,8
2020-07-11,2
2020-07-12,15
2020-07-13,17
2020-07-14,10
2020-07-15,9
2020-07-16,9
2020-07-17,13
2020-07-18,17
2020-07-19,20
2020-07-20,14
2020-07-21,14
2020-07-22,16
2020-07-23,7
2020-07-24,18
2020-07-25,19
2020-07-26,8
2020-07-27,15
2020-07-28,22
2020-07-29,15
2020-07-30,22
2020-07-31,15
2020-08-01,14
2020-08-02,11
2020-08-03,13
2020-08-04,9
2020-08-05,13
2020-08-06,11
2020-08-07,8
2020-08-08,14
2020-08-09,13
2020-08-10,22
2020-08-11,15
2020-08-12,10
2020-08-13,14
2020-08-14,7
2020-08-15,6
2020-08-16,5
2020-08-17,3
2020-08-18,8
2020-08-19,2
2020-08-20,5
2020-08-21,7
2020-08-22,2
2020-08-23,3
2020-08-24,4
2020-08-25,6
2020-08-26,12
2020-08-27,15
2020-08-28,10
2020-08-29,7
2020-08-30,11
2020-08-31,12
2020-09-01,15
2020-09-02,10
2020-09-03,7
2020-09-04,7
2020-09-05,8
2020-09-06,4
2020-09-07,11
2020-09-08,5
2020-09-09,10
2020-09-10,8
2020-09-11,8
2020-09-12,6
2020-09-13,7
2020-09-14,7
2020-09-15,5
2020-09-16,7
2020-09-17,3
2020-09-18,4
2020-09-19,1
2020-09-20,5
2020-09-21,1
2020-09-22,6
2020-09-23,3
2020-09-24,2
2020-09-25,1
2020-09-26,0
2020-09-27,0
2020-09-28,5
2020-09-29,2
2020-09-30,4
2020-10-01,3
2020-10-02,0
2020-10-03,3
2020-10-04,2
2020-10-05,9
2020-10-06,3
2020-10-07,15
2020-10-08,6
2020-10-09,4
2020-10-10,7
2020-10-11,5
2020-10-12,15
2020-10-13,12
2020-10-14,10
2020-10-15,3
2020-10-16,7
2020-10-17,6
2020-10-18,6
2020-10-19,10
2020-10-20,4
2020-10-21,9
2020-10-22,3
2020-10-23,6
2020-10-24,7
2020-10-25,3
2020-10-26,15
2020-10-27,5
2020-10-28,4
2020-10-29,7
2020-10-30,4
2020-10-31,5
2020-11-01,5
2020-11-02,4
2020-11-03,7
2020-11-04,3
2020-11-05,10
2020-11-06,5
2020-11-07,4
2020-11-08,7
2020-11-09,5
2020-11-10,2
2020-11-11,5
2020-11-12,2
2020-11-13,6
2020-11-14,8
2020-11-15,2
2020-11-16,4
2020-11-17,6
2020-11-18,7
2020-11-19,3
2020-11-20,10
2020-11-21,9
2020-11-22,5
2020-11-23,7
2020-11-24,2
2020-11-25,0
2020-11-26,5
2020-11-27,8
2020-11-28,4
2020-11-29,7
2020-11-30,8
2020-12-01,6
2020-12-02,8
2020-12-03,4
2020-12-04,2
2020-12-05,5
2020-12-06,7
2020-12-07,4
2020-12-08,2
2020-12-09,9
2020-12-10,6
2020-12-11,3
2020-12-12,3
2020-12-13,5
2020-12-14,7
2020-12-15,3
2020-12-16,9
2020-12-17,25
2020-12-18,28
2020-12-19,32
2020-12-20,28
2020-12-21,12
2020-12-22,13
2020-12-23,21
2020-12-24,13
2020-12-25,12
2020-12-26,13
2020-12-27,10
2020-12-28,9
2020-12-29,31
2020-12-30,11
2020-12-31,11
2021-01-01,17
2021-01-02,7
2021-01-03,11
2021-01-04,4
2021-01-05,4
2021-01-06,12
2021-01-07,5
2021-01-08,11
2021-01-09,7
2021-01-10,12
2021-01-11,11
2021-01-12,5
2021-01-13,2
2021-01-14,2
2021-01-15,14
2021-01-16,14
2021-01-17,1
