date_vic_wk,cases_vic_wk,ds_vic_wk,us_vic_wk,date_nsw_wk,cases_nsw_wk,ds_nsw_wk,us_nsw_wk
2020-01-25,1,NaN,NaN,2020-01-25,3,NaN,NaN
2020-01-26,0,NaN,NaN,2020-01-26,0,NaN,NaN
2020-01-27,0,198343286.311742,16425817.7315742,2020-01-27,1,218213138.638492,17106214.170118
2020-01-28,1,168674596.203209,15285408.1963025,2020-01-28,0,179848835.21734,15691649.0205361
2020-01-29,0,155438815.773153,14362012.8820224,2020-01-29,0,154825611.403629,14293650.9690938
2020-01-30,1,136190640.23842,13585257.2857427,2020-01-30,0,137805455.472261,13499765.4369958
2020-01-31,1,140455366.209234,13509511.2587922,2020-01-31,0,139569888.063855,13549880.3349388
2020-02-01,0,NaN,NaN,2020-02-01,0,NaN,NaN
2020-02-02,0,NaN,NaN,2020-02-02,0,NaN,NaN
2020-02-03,0,121708415.704317,12937499.7808675,2020-02-03,0,135625661.402944,13706052.4823045
2020-02-04,0,109820087.857358,12088537.7232827,2020-02-04,0,120160917.328716,12510818.8402085
2020-02-05,0,136903703.006106,12821595.4816855,2020-02-05,0,142655928.907736,13163551.8731917
2020-02-06,0,122302176.175931,12505875.0387595,2020-02-06,0,137315184.433542,13182836.5758265
2020-02-07,0,124763055.277531,12891300.0254282,2020-02-07,0,147336090.266281,14005124.6637175
2020-02-08,0,NaN,NaN,2020-02-08,0,NaN,NaN
2020-02-09,0,NaN,NaN,2020-02-09,0,NaN,NaN
2020-02-10,0,126799878.299522,13437363.7737047,2020-02-10,0,142391919.065628,14565226.9568214
2020-02-11,0,116304426.021877,12644718.3836953,2020-02-11,0,122701904.233236,13135217.8977901
2020-02-12,0,178428309.222174,14117257.9839583,2020-02-12,0,188486180.203704,14582416.4429916
2020-02-13,0,127479186.885694,12780366.5765634,2020-02-13,0,141750929.428596,13534864.3478189
2020-02-14,0,126733520.376494,13075430.9139834,2020-02-14,0,132079347.944952,13459075.8006385
2020-02-15,0,NaN,NaN,2020-02-15,0,NaN,NaN
2020-02-16,0,NaN,NaN,2020-02-16,0,NaN,NaN
2020-02-17,0,119540277.187508,12915627.1456598,2020-02-17,0,133049352.780417,13611417.8559008
2020-02-18,0,123125593.042875,12823262.6365766,2020-02-18,0,120801528.278011,12858247.4198536
2020-02-19,0,126561449.142702,12740607.4907064,2020-02-19,0,120309887.937708,12605788.6438514
2020-02-20,0,120088309.713167,12159655.233095,2020-02-20,0,121445072.654984,12622380.6095464
2020-02-21,0,135804813.623437,13049162.5278505,2020-02-21,0,141036681.718547,13426743.4632527
2020-02-22,2,NaN,NaN,2020-02-22,0,NaN,NaN
2020-02-23,0,NaN,NaN,2020-02-23,0,NaN,NaN
2020-02-24,0,122856118.421065,12951623.7772081,2020-02-24,0,128157427.293022,13419988.1936832
2020-02-25,1,117684752.232207,12412686.6597814,2020-02-25,0,120517759.796188,12863532.0256613
2020-02-26,0,140192734.841886,13008093.6781925,2020-02-26,0,140629195.283425,13224323.8143271
2020-02-27,0,123149351.780765,12437342.2806415,2020-02-27,0,128968852.430569,13026862.6534615
2020-02-28,0,128053853.959031,12939268.2496727,2020-02-28,0,128786585.120321,13232581.9035523
2020-02-29,0,NaN,NaN,2020-02-29,0,NaN,NaN
2020-03-01,2,NaN,NaN,2020-03-01,2,NaN,NaN
2020-03-02,0,123034391.823113,13153518.8433464,2020-03-02,3,127485273.403572,13519478.8749075
2020-03-03,0,115761450.266034,12476700.5531191,2020-03-03,6,125730976.875109,13091196.1965402
2020-03-04,1,145772923.042129,12917803.0348738,2020-03-04,6,166230063.05806,14064708.2474589
2020-03-05,0,133601765.926716,12949090.4873865,2020-03-05,4,137500106.775086,13414504.4178541
2020-03-06,1,131412540.96731,13372718.6351081,2020-03-06,7,131444371.248886,13536307.1367757
2020-03-07,1,NaN,NaN,2020-03-07,2,NaN,NaN
2020-03-08,2,NaN,NaN,2020-03-08,7,NaN,NaN
2020-03-09,3,206026708.665551,16923655.668305,2020-03-09,13,149090064.506495,14702054.4099022
2020-03-10,2,119938908.610012,12924604.4772644,2020-03-10,6,122292471.831933,13125384.6645784
2020-03-11,5,176982812.305552,14061693.7229701,2020-03-11,16,186054666.97834,14677614.0483633
2020-03-12,10,140455023.418311,13367711.7768424,2020-03-12,14,148769469.670642,13743158.1648556
2020-03-13,15,136466189.61199,13612791.9224703,2020-03-13,19,137888983.830182,13941056.2600654
2020-03-14,5,NaN,NaN,2020-03-14,20,NaN,NaN
2020-03-15,7,NaN,NaN,2020-03-15,38,NaN,NaN
2020-03-16,17,130854791.96473,14956520.5952889,2020-03-16,29,149635816.119983,15761490.425456
2020-03-17,37,140063797.143408,16323997.2352057,2020-03-17,64,149867961.029557,16768760.3670261
2020-03-18,30,155546480.964288,17818661.1224637,2020-03-18,45,151703028.078599,17226276.1789261
2020-03-19,33,160278076.229283,18505366.3366655,2020-03-19,56,154807364.47546,18124123.067193
2020-03-20,43,169199081.127783,19345110.2740691,2020-03-20,88,167405589.618434,18760169.7379323
2020-03-21,46,NaN,NaN,2020-03-21,122,NaN,NaN
2020-03-22,73,NaN,NaN,2020-03-22,121,NaN,NaN
2020-03-23,56,180866359.116809,22677234.1780886,2020-03-23,177,177587430.96897,21389959.6221515
2020-03-24,64,238181096.828957,20473773.9989565,2020-03-24,192,222255526.837569,22144306.5514591
2020-03-25,58,241720011.463184,28081942.9243462,2020-03-25,206,229606372.876463,27727382.549788
2020-03-26,54,232459662.980538,28549004.3063373,2020-03-26,185,232518276.99989,28240838.8738777
2020-03-27,106,232826641.278143,25953723.0635631,2020-03-27,213,231640705.926468,26594371.8012616
2020-03-28,78,NaN,NaN,2020-03-28,143,NaN,NaN
2020-03-29,54,NaN,NaN,2020-03-29,124,NaN,NaN
2020-03-30,88,215745839.771195,27943369.9169564,2020-03-30,90,218300542.190423,29301039.4123236
2020-03-31,58,211362855.830093,27859425.301565,2020-03-31,131,209689976.556388,28984281.7804608
2020-04-01,63,217745276.12808,27323219.6787697,2020-04-01,124,224154523.870777,29400600.512607
2020-04-02,59,238302934.193022,27983271.0948658,2020-04-02,92,230130843.500704,29397273.9750221
2020-04-03,22,NaN,NaN,2020-04-03,106,NaN,NaN
2020-04-04,29,NaN,NaN,2020-04-04,73,NaN,NaN
2020-04-05,26,NaN,NaN,2020-04-05,63,NaN,NaN
2020-04-06,33,224350433.867986,28368289.4184132,2020-04-06,40,220312382.119202,29254211.2040061
2020-04-07,24,220671364.235363,28489184.046632,2020-04-07,44,222279796.835397,29199010.6964274
2020-04-08,13,230117921.638107,28462886.6573829,2020-04-08,45,236719071.960802,29596139.1928252
2020-04-09,12,230473185.623897,28167338.7994704,2020-04-09,41,245501353.380377,29482087.7827541
2020-04-10,24,259396406.076114,24660668.5420234,2020-04-10,30,301422505.998271,26477794.0403144
2020-04-11,6,NaN,NaN,2020-04-11,18,NaN,NaN
2020-04-12,8,NaN,NaN,2020-04-12,10,NaN,NaN
2020-04-13,9,228926356.916783,23118717.0682919,2020-04-13,7,233940408.488977,23112105.832685
2020-04-14,4,219892294.091098,29252146.1182777,2020-04-14,21,220585391.400247,27661925.5074794
2020-04-15,5,214647623.138985,31565703.224958,2020-04-15,22,225067973.63493,27718990.635687
2020-04-16,7,219834069.809594,32027101.0379507,2020-04-16,22,231721602.370632,27963023.6822478
2020-04-17,14,224296333.845727,32180598.5900797,2020-04-17,15,226150631.590029,27389388.2682631
2020-04-18,13,NaN,NaN,2020-04-18,17,NaN,NaN
2020-04-19,1,NaN,NaN,2020-04-19,7,NaN,NaN
2020-04-20,5,216532268.874431,31833722.4038554,2020-04-20,2,221627375.86967,27502666.9881784
2020-04-21,1,206050258.106757,31619413.6920837,2020-04-21,6,211931313.923882,27378425.0146347
2020-04-22,1,216184987.510841,31827235.1298606,2020-04-22,3,215909312.822253,27549255.1789245
2020-04-23,5,215283302.682723,31348035.4279393,2020-04-23,8,216324880.67905,27263872.845763
2020-04-24,3,212665224.679378,31511071.2360838,2020-04-24,14,213325019.199321,26927689.8889092
2020-04-25,3,NaN,NaN,2020-04-25,3,NaN,NaN
2020-04-26,1,NaN,NaN,2020-04-26,1,NaN,NaN
2020-04-27,3,205938712.558093,31230415.0522238,2020-04-27,5,220006611.691306,26975172.0247104
2020-04-28,3,206891160.444314,31069415.3140538,2020-04-28,10,213132497.741463,28781462.8243186
2020-04-29,7,223385032.832482,31725449.6996988,2020-04-29,3,212422315.997611,29296018.6602875
2020-04-30,5,235970855.476676,32052654.7669705,2020-04-30,15,239970456.511104,30160443.3477697
2020-05-01,10,211564664.526115,28481245.7653417,2020-05-01,2,210695457.837319,28497206.5286882
2020-05-02,11,NaN,NaN,2020-05-02,2,NaN,NaN
2020-05-03,21,NaN,NaN,2020-05-03,1,NaN,NaN
2020-05-04,14,203682908.510652,30746413.8567263,2020-05-04,4,188468294.236021,27252274.4662356
2020-05-05,16,191515998.479308,30527614.8470587,2020-05-05,5,188187594.043946,27618919.9708778
2020-05-06,15,198403569.524291,30426837.3776307,2020-05-06,3,188054107.24435,27030576.9519385
2020-05-07,13,198936507.843471,30654217.3077779,2020-05-07,2,187494962.240569,27120813.9286115
2020-05-08,12,201678941.897281,30299701.4374045,2020-05-08,4,191177838.077085,26645019.7629346
2020-05-09,8,NaN,NaN,2020-05-09,1,NaN,NaN
2020-05-10,5,NaN,NaN,2020-05-10,1,NaN,NaN
2020-05-11,16,202150997.541574,30554322.8816449,2020-05-11,0,180411534.080977,25592376.5833366
2020-05-12,7,200263852.471093,30486740.3218606,2020-05-12,5,176573691.48108,25605225.7538472
2020-05-13,9,219043641.072479,30590768.4676134,2020-05-13,4,196981566.495797,26020224.3870189
2020-05-14,19,205160158.250935,30308063.1879218,2020-05-14,3,189339331.057482,25816124.5696198
2020-05-15,13,212029079.269395,29354128.0185913,2020-05-15,2,194603395.879967,25374578.3986172
2020-05-16,5,NaN,NaN,2020-05-16,0,NaN,NaN
2020-05-17,6,NaN,NaN,2020-05-17,1,NaN,NaN
2020-05-18,7,197626682.657039,29621806.5226189,2020-05-18,2,176618944.691981,24783110.5847188
2020-05-19,5,204335763.540157,29791180.562921,2020-05-19,4,170523687.605287,24744499.2497658
2020-05-20,5,226965581.242414,30172652.7956278,2020-05-20,1,190929456.883594,25250407.7296533
2020-05-21,10,215597106.367767,30105318.4124843,2020-05-21,3,187312572.219808,25094612.9573958
2020-05-22,9,203914749.232717,28791577.9929878,2020-05-22,0,183489052.108643,24510699.2047152
2020-05-23,2,NaN,NaN,2020-05-23,1,NaN,NaN
2020-05-24,2,NaN,NaN,2020-05-24,1,NaN,NaN
2020-05-25,5,187204662.005093,25687141.8995963,2020-05-25,2,151913290.168305,22077756.0549626
2020-05-26,8,170638949.488746,26647359.6710155,2020-05-26,0,146389090.042993,21936667.78814
2020-05-27,10,189290676.892221,26916147.2988805,2020-05-27,1,151687080.284344,21659696.8923581
2020-05-28,6,184058195.45497,26564733.3481113,2020-05-28,2,146401543.290774,21213253.6421975
2020-05-29,8,180380222.545809,25983366.1782357,2020-05-29,1,150426828.087876,21063582.3265635
2020-05-30,8,NaN,NaN,2020-05-30,2,NaN,NaN
