date_vic_wknd,cases_vic_wknd,ds_vic_wknd,us_vic_wknd,date_nsw_wknd,cases_nsw_wknd,ds_nsw_wknd,us_nsw_wknd
2020-01-25,1,181371566.622147,15173152.3002491,2020-01-25,3,201451368.63268,16122493.9829008
2020-01-26,0,184837413.102428,15364367.9147428,2020-01-26,0,199172460.361133,16112419.6830791
2020-01-27,0,NaN,NaN,2020-01-27,1,NaN,NaN
2020-01-28,1,NaN,NaN,2020-01-28,0,NaN,NaN
2020-01-29,0,NaN,NaN,2020-01-29,0,NaN,NaN
2020-01-30,1,NaN,NaN,2020-01-30,0,NaN,NaN
2020-01-31,1,NaN,NaN,2020-01-31,0,NaN,NaN
2020-02-01,0,216750799.600747,16588632.243097,2020-02-01,0,220790397.130205,16860186.6598038
2020-02-02,0,205064929.109596,16679075.937827,2020-02-02,0,223580012.933896,16935529.9578462
2020-02-03,0,NaN,NaN,2020-02-03,0,NaN,NaN
2020-02-04,0,NaN,NaN,2020-02-04,0,NaN,NaN
2020-02-05,0,NaN,NaN,2020-02-05,0,NaN,NaN
2020-02-06,0,NaN,NaN,2020-02-06,0,NaN,NaN
2020-02-07,0,NaN,NaN,2020-02-07,0,NaN,NaN
2020-02-08,0,206992040.829235,16842189.5342137,2020-02-08,0,239310249.668267,18300843.4084597
2020-02-09,0,215636032.589462,17409410.5514307,2020-02-09,0,263237560.096568,19694273.2085176
2020-02-10,0,NaN,NaN,2020-02-10,0,NaN,NaN
2020-02-11,0,NaN,NaN,2020-02-11,0,NaN,NaN
2020-02-12,0,NaN,NaN,2020-02-12,0,NaN,NaN
2020-02-13,0,NaN,NaN,2020-02-13,0,NaN,NaN
2020-02-14,0,NaN,NaN,2020-02-14,0,NaN,NaN
2020-02-15,0,219427487.901958,16901200.9705205,2020-02-15,0,212125279.128365,17111357.301448
2020-02-16,0,213266930.495651,17084759.2133202,2020-02-16,0,219055870.459579,17491930.5388964
2020-02-17,0,NaN,NaN,2020-02-17,0,NaN,NaN
2020-02-18,0,NaN,NaN,2020-02-18,0,NaN,NaN
2020-02-19,0,NaN,NaN,2020-02-19,0,NaN,NaN
2020-02-20,0,NaN,NaN,2020-02-20,0,NaN,NaN
2020-02-21,0,NaN,NaN,2020-02-21,0,NaN,NaN
2020-02-22,2,196374643.477615,15885650.5445691,2020-02-22,0,216778005.097863,16978641.1288112
2020-02-23,0,200633339.284288,16500187.5828476,2020-02-23,0,219458381.301131,17432067.5624207
2020-02-24,0,NaN,NaN,2020-02-24,0,NaN,NaN
2020-02-25,1,NaN,NaN,2020-02-25,0,NaN,NaN
2020-02-26,0,NaN,NaN,2020-02-26,0,NaN,NaN
2020-02-27,0,NaN,NaN,2020-02-27,0,NaN,NaN
2020-02-28,0,NaN,NaN,2020-02-28,0,NaN,NaN
2020-02-29,0,201189227.01336,16154699.1139242,2020-02-29,0,207736561.345843,16888052.515882
2020-03-01,2,208343434.178603,16739473.2136586,2020-03-01,2,214976800.178923,17400573.47602
2020-03-02,0,NaN,NaN,2020-03-02,3,NaN,NaN
2020-03-03,0,NaN,NaN,2020-03-03,6,NaN,NaN
2020-03-04,1,NaN,NaN,2020-03-04,6,NaN,NaN
2020-03-05,0,NaN,NaN,2020-03-05,4,NaN,NaN
2020-03-06,1,NaN,NaN,2020-03-06,7,NaN,NaN
2020-03-07,1,221670805.141449,16459081.8487783,2020-03-07,2,235465517.922288,17766551.2551989
2020-03-08,2,198837028.712631,15968211.2041706,2020-03-08,7,224039392.433411,17467449.7442694
2020-03-09,3,NaN,NaN,2020-03-09,13,NaN,NaN
2020-03-10,2,NaN,NaN,2020-03-10,6,NaN,NaN
2020-03-11,5,NaN,NaN,2020-03-11,16,NaN,NaN
2020-03-12,10,NaN,NaN,2020-03-12,14,NaN,NaN
2020-03-13,15,NaN,NaN,2020-03-13,19,NaN,NaN
2020-03-14,5,227422337.71935,17558380.5809573,2020-03-14,20,242170983.15565,18224889.7785257
2020-03-15,7,225086818.561047,18266047.6509462,2020-03-15,38,231065876.220785,18694377.8034781
2020-03-16,17,NaN,NaN,2020-03-16,29,NaN,NaN
2020-03-17,37,NaN,NaN,2020-03-17,64,NaN,NaN
2020-03-18,30,NaN,NaN,2020-03-18,45,NaN,NaN
2020-03-19,33,NaN,NaN,2020-03-19,56,NaN,NaN
2020-03-20,43,NaN,NaN,2020-03-20,88,NaN,NaN
2020-03-21,46,235083593.143895,19887769.7868005,2020-03-21,122,234462548.812787,19977756.6601691
2020-03-22,73,248758251.718889,20972958.2010941,2020-03-22,121,238505036.095658,20749265.7400668
2020-03-23,56,NaN,NaN,2020-03-23,177,NaN,NaN
2020-03-24,64,NaN,NaN,2020-03-24,192,NaN,NaN
2020-03-25,58,NaN,NaN,2020-03-25,206,NaN,NaN
2020-03-26,54,NaN,NaN,2020-03-26,185,NaN,NaN
2020-03-27,106,NaN,NaN,2020-03-27,213,NaN,NaN
2020-03-28,78,236257388.784394,23017477.9939714,2020-03-28,143,250177755.658676,23740480.4969923
2020-03-29,54,238331385.774224,23154579.0229843,2020-03-29,124,248466187.6439,24018881.4455893
2020-03-30,88,NaN,NaN,2020-03-30,90,NaN,NaN
2020-03-31,58,NaN,NaN,2020-03-31,131,NaN,NaN
2020-04-01,63,NaN,NaN,2020-04-01,124,NaN,NaN
2020-04-02,59,NaN,NaN,2020-04-02,92,NaN,NaN
2020-04-03,22,NaN,NaN,2020-04-03,106,NaN,NaN
2020-04-04,29,247266268.508572,23804608.5934986,2020-04-04,73,247704968.465629,24269497.6477116
2020-04-05,26,275796730.343202,25174572.2432906,2020-04-05,63,252152294.687296,24791205.9322308
2020-04-06,33,NaN,NaN,2020-04-06,40,NaN,NaN
2020-04-07,24,NaN,NaN,2020-04-07,44,NaN,NaN
2020-04-08,13,NaN,NaN,2020-04-08,45,NaN,NaN
2020-04-09,12,NaN,NaN,2020-04-09,41,NaN,NaN
2020-04-10,24,NaN,NaN,2020-04-10,30,NaN,NaN
2020-04-11,6,254166132.189762,24318268.3979046,2020-04-11,18,244544329.664776,23951909.2504635
2020-04-12,8,247906264.617127,26533207.4401928,2020-04-12,10,238987261.03059,26139795.0391919
2020-04-13,9,NaN,NaN,2020-04-13,7,NaN,NaN
2020-04-14,4,NaN,NaN,2020-04-14,21,NaN,NaN
2020-04-15,5,NaN,NaN,2020-04-15,22,NaN,NaN
2020-04-16,7,NaN,NaN,2020-04-16,22,NaN,NaN
2020-04-17,14,NaN,NaN,2020-04-17,15,NaN,NaN
2020-04-18,13,235499243.437422,23726293.4456971,2020-04-18,17,226630253.10126,22549679.3366672
2020-04-19,1,225721842.941658,22795596.96054,2020-04-19,7,230431374.861868,22649692.868946
2020-04-20,5,NaN,NaN,2020-04-20,2,NaN,NaN
2020-04-21,1,NaN,NaN,2020-04-21,6,NaN,NaN
2020-04-22,1,NaN,NaN,2020-04-22,3,NaN,NaN
2020-04-23,5,NaN,NaN,2020-04-23,8,NaN,NaN
2020-04-24,3,NaN,NaN,2020-04-24,14,NaN,NaN
2020-04-25,3,232362970.526888,23494356.9326854,2020-04-25,3,227732530.569674,22515942.9311875
2020-04-26,1,248683477.839781,23831292.2476899,2020-04-26,1,233056362.266886,22662544.3301076
2020-04-27,3,NaN,NaN,2020-04-27,5,NaN,NaN
2020-04-28,3,NaN,NaN,2020-04-28,10,NaN,NaN
2020-04-29,7,NaN,NaN,2020-04-29,3,NaN,NaN
2020-04-30,5,NaN,NaN,2020-04-30,15,NaN,NaN
2020-05-01,10,NaN,NaN,2020-05-01,2,NaN,NaN
2020-05-02,11,226495848.325829,22635284.9739523,2020-05-02,2,215695551.586791,21284589.1681497
2020-05-03,21,213436838.172438,21122358.364607,2020-05-03,1,203373346.904914,20356926.5373682
2020-05-04,14,NaN,NaN,2020-05-04,4,NaN,NaN
2020-05-05,16,NaN,NaN,2020-05-05,5,NaN,NaN
2020-05-06,15,NaN,NaN,2020-05-06,3,NaN,NaN
2020-05-07,13,NaN,NaN,2020-05-07,2,NaN,NaN
2020-05-08,12,NaN,NaN,2020-05-08,4,NaN,NaN
2020-05-09,8,235409655.29979,22440287.6462875,2020-05-09,1,202049972.204309,20210784.8845051
