us_nsw_wk_7day_avg,us_vic_wk_7day_avg,ds_nsw_wk_7day_avg,ds_vic_wk_7day_avg,cases_nsw_wk_7day_avg,cases_vic_wk_7day_avg
16398931.595327,15855612.9639383,199030986.927916,183508941.257475,1,0.5
15697171.3865826,15357746.2699664,184295861.753154,174152232.762701,0.8,0.4
15147819.8991859,14914624.0239104,172673260.18293,164661834.631631,0.666666666666667,0.5
14828231.9863365,14633601.4708868,166052585.759115,159820540.947152,0.571428571428571,0.571428571428571
14828231.9863365,14633601.4708868,166052585.759115,159820540.947152,0.142857142857143,0.428571428571429
14828231.9863365,14633601.4708868,166052585.759115,159820540.947152,0.142857142857143,0.428571428571429
14148199.6487738,13935937.8807455,149535090.312006,144493566.825667,0,0.428571428571429
13512033.6127083,13296563.7861415,137597506.734281,132722665.156496,0,0.285714285714286
13286013.7935279,12988480.3060741,135163570.235102,129015642.603087,0,0.285714285714286
13222628.021294,12772603.8566775,135065516.027359,126237949.790589,0,0.142857142857143
13313676.8870497,12648961.6100047,136618756.467844,123099487.604249,0,0
13313676.8870497,12648961.6100047,136618756.467844,123099487.604249,0,0
13313676.8870497,12648961.6100047,136618756.467844,123099487.604249,0,0
13485511.7819531,12748934.4085721,137972008.000381,124117780.12329,0,0
13610391.5934694,12860170.5406546,138480205.381285,125414647.756193,0,0
13894164.5074294,13119303.0411092,147646255.640478,133719568.999407,0,0
13964570.0618279,13174201.34867,148533404.639489,134754971.14136,0,0
13855360.2892121,13211027.526381,145482056.175223,135149064.161152,0,0
13855360.2892121,13211027.526381,145482056.175223,135149064.161152,0,0
13855360.2892121,13211027.526381,145482056.175223,135149064.161152,0,0
13664598.469028,13106680.200772,143613542.918181,133697143.938749,0,0
13609204.3734407,13142389.0513483,143233467.727136,135061377.342949,0,0
13213878.8136126,12867058.9526979,129598209.273937,124688005.327055,0,0
13031382.0659581,12742916.6840042,125537037.919214,123209829.892549,0,0
13024915.598481,12737663.0067777,127328504.673933,125024088.541938,0,0
