us_nsw_wknd_7day_avg,us_vic_wknd_7day_avg,ds_nsw_wknd_7day_avg,ds_vic_wknd_7day_avg,cases_nsw_wknd_7day_avg,cases_vic_7day_avg
16117456.8329899,15268760.1074959,200311914.496907,183104489.862287,1,0.5
16117456.8329899,15268760.1074959,200311914.496907,183104489.862287,0.8,0.4
16117456.8329899,15268760.1074959,200311914.496907,183104489.862287,0.666666666666667,0.5
16117456.8329899,15268760.1074959,200311914.496907,183104489.862287,0.571428571428571,0.571428571428571
16486303.1714415,15976500.0789199,209981428.745669,200794106.351587,0.142857142857143,0.428571428571429
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0.142857142857143,0.428571428571429
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0,0.428571428571429
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0,0.285714285714286
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0,0.285714285714286
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0,0.142857142857143
16897858.308825,16633854.090462,222185205.03205,210907864.355172,0,0
17618186.683153,16760632.7360203,231445131.301082,206028484.969415,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18997558.3084887,17125800.0428222,251273904.882418,211314036.709348,0,0
18402815.2549828,17155305.7609756,237681419.612467,217531760.24571,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17301643.9201722,16992980.0919203,215590574.793972,216347209.198804,0,0
17235285.8338538,16485204.8789447,217916937.778721,204820786.986633,0,0.285714285714286
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.285714285714286
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.285714285714286
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.428571428571429
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.428571428571429
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.428571428571429
17205354.3456159,16192919.0637084,218118193.199497,198503991.380951,0,0.428571428571429
17160060.0391513,16327443.3483859,213597471.323487,200911283.148824,0,0.142857142857143
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,0.285714285714286,0.428571428571429
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,0.714285714285714,0.428571428571429
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,1.57142857142857,0.285714285714286
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,2.42857142857143,0.428571428571429
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,3,0.428571428571429
17144312.995951,16447086.1637914,211356680.762383,204766330.595981,4,0.571428571428571
17583562.3656095,16599277.5312185,225221159.050606,215007119.660026,4.28571428571429,0.714285714285714
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,5,0.714285714285714
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,6.42857142857143,1.14285714285714
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,6.42857142857143,1.42857142857143
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,7.85714285714286,2
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,9.28571428571429,3.42857142857143
17617000.4997341,16213646.5264744,229752455.17785,210253916.92704,11,5.42857142857143
17846169.7613975,16763295.892564,233105187.794531,213129683.21599,13.5714285714286,6
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,18,6.71428571428571
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,20.2857142857143,8.71428571428571
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,28.5714285714286,13.7142857142857
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,32.7142857142857,17.2857142857143
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,38.7142857142857,20.5714285714286
18459633.7910019,17912214.1159518,236618429.688217,226254578.140198,48.5714285714286,24.5714285714286
19336067.2318236,19076908.7188734,232764212.516786,230085205.852471,63.1428571428571,30.4285714285714
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,75,39.8571428571429
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,96.1428571428571,45.4285714285714
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,114.428571428571,49.2857142857143
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,137.428571428571,53.2857142857143
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,155.857142857143,56.2857142857143
20363511.2001179,20430363.9939473,236483792.454223,241920922.431392,173.714285714286,65.2857142857143
22244873.1185296,21995218.0975327,244341395.877167,242507820.251642,176.714285714286,69.8571428571429
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,177.142857142857,67.1428571428571
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,164.714285714286,71.7142857142857
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,156,70.8571428571429
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,144.285714285714,71.5714285714286
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,131,72.2857142857143
23879680.9712908,23086028.5084779,249321971.651288,237294387.279309,115.714285714286,60.2857142857143
24144189.5466505,23479593.8082414,248085578.054765,242798827.141398,105.714285714286,53.2857142857143
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,97,49.2857142857143
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,89.8571428571429,41.4285714285714
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,77.4285714285714,36.5714285714286
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,66.1428571428571,29.4285714285714
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,58.8571428571429,22.7142857142857
24530351.7899712,24489590.4183946,249928631.576463,261531499.425887,48,23
24371557.5913472,24746420.3205976,248348312.176036,264981431.266482,40.1428571428571,19.7142857142857
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,32.5714285714286,17.1428571428571
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,27.8571428571429,13.7142857142857
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,24.5714285714286,10.8571428571429
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,21.2857142857143,9.71428571428571
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,18.5714285714286,9
25045852.1448277,25425737.9190487,241765795.347683,251036198.403444,16.4285714285714,7.57142857142857
24344737.1879295,25129750.442945,232808757.065925,241702754.027274,16.2857142857143,8.57142857142857
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,15.8571428571429,7.57142857142857
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,15.1428571428571,7
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,13,6.57142857142857
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,10.2857142857143,6
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,8.28571428571429,5.71428571428571
22599686.1028066,23260945.2031185,228530813.981564,230610543.18954,8.14285714285714,4.14285714285714
22582817.9000667,23144976.9466127,229081952.715771,229042406.734273,6.14285714285714,2.71428571428571
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,5.28571428571429,2.71428571428571
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,5.71428571428571,2.42857142857143
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,6.28571428571429,2.71428571428571
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,6.28571428571429,3.57142857142857
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,7.28571428571429,3.57142857142857
22589243.6306475,23662824.5901877,230394446.41828,240523224.183334,5.57142857142857,4.57142857142857
21973566.7491286,23233288.6108211,224375956.926839,237589663.082805,5.42857142857143,5.71428571428571
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,5.42857142857143,8.57142857142857
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,5.28571428571429,10.1428571428571
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,4.57142857142857,12
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,4.57142857142857,13.1428571428571
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,2.71428571428571,14.2857142857143
20820757.852759,21878821.6692796,209534449.245853,219966343.249133,3,14.5714285714286
20283855.7109367,21781323.0054472,202711659.554612,224423246.736114,2.85714285714286,14.1428571428571
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.85714285714286,11.8571428571429
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.28571428571429,12.1428571428571
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.28571428571429,10.8571428571429
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.42857142857143,10
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.57142857142857,10.8571428571429
20521130.6673994,22397808.4962623,200769955.130417,223277768.745098,2.28571428571429,11
20322164.1633298,21066269.9987675,202696761.037479,202781495.676794,2.14285714285714,10.5714285714286
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,2.14285714285714,10.7142857142857
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,2.42857142857143,9.42857142857143
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,2.28571428571429,9.14285714285714
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,1.85714285714286,8.57142857142857
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,1.85714285714286,7.28571428571429
19709890.6123666,19538049.5711026,204595024.494972,196302010.678839,1.57142857142857,6.71428571428571
19634010.6686332,19533322.8940761,202979889.080199,200060359.369536,1.71428571428571,6.28571428571429
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1.71428571428571,5.71428571428571
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1.71428571428571,5.42857142857143
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1.14285714285714,5.85714285714286
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1.14285714285714,6.57142857142857
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1,6
19858512.3193481,19544878.3312157,204678111.354066,200544394.697543,1.14285714285714,5.85714285714286
19499020.477766,19289656.9281375,200329076.942088,195108485.604098,1.28571428571429,6.71428571428571
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,1.85714285714286,7
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,2.14285714285714,7.57142857142857
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,2.28571428571429,7.42857142857143
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,2.42857142857143,7.14285714285714
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,2.57142857142857,6.71428571428571
19048133.2500416,19198120.7641155,198846939.721989,196109177.624071,2.42857142857143,5.71428571428571
18483580.0171934,18643745.9666569,193195215.146182,194376121.763115,2.28571428571429,5.14285714285714
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,2,4.85714285714286
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,1.57142857142857,3.57142857142857
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,1.85714285714286,3.14285714285714
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,1.57142857142857,3
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,1.57142857142857,3.28571428571429
17974359.0438078,18051939.7914953,188724555.883768,189561109.639788,2,4.28571428571429
18532646.2951644,18804164.3635276,203124350.83737,206439249.854027,3.14285714285714,5.14285714285714
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3.57142857142857,6.57142857142857
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3.42857142857143,7.85714285714286
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3,10.1428571428571
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3.28571428571429,11.7142857142857
19281073.0688516,19454649.2936449,217912773.642563,219163035.51805,3.85714285714286,12.7142857142857
