SA2_5DIG16,income_security,base_ds,base_us,peak1_us,peak2_us,peak1_ds,peak2_ds,peak1_minus_base_ds,peak1_minus_base_us,peak2_minus_base_ds,peak2_minus_base_us
11028,0.192,79774612.694,6398090.976,19884817.139,11417071.701,160703533.626,103644182.027,80928920.932,13486726.163,23869569.333,5018980.726
11029,0.18,70881574.425,4662060.428,16566596.178,10539901.642,133571381.514,99479299.101,62689807.089,11904535.75,28597724.676,5877841.214
11030,0.154,70504176.415,8170392.805,11077892.359,9704076.89,87406058.357,71173607.436,16901881.942,2907499.553,669431.021,1533684.084
11031,0.18,79601146.179,6994824.65,18224793.179,12337311.959,138666817.436,101036431.815,59065671.257,11229968.529,21435285.636,5342487.308
11032,0.173,100191026.943,9028048.007,17545728.699,11676460.455,145296667.425,109966185.177,45105640.482,8517680.692,9775158.234,2648412.448
11033,0.171,118189150.603,7046603.157,19396355.23,11935172.789,204317772.864,152185108.071,86128622.261,12349752.073,33995957.468,4888569.633
11034,0.169,75606296.614,4964370.165,12924332.26,8126897.752,139177825.097,100598218.448,63571528.483,7959962.095,24991921.834,3162527.588
11035,0.166,112942430.585,5007813.683,20324296.526,11843493.342,198519772.422,144633759.065,85577341.836,15316482.843,31691328.48,6835679.659
11036,0.173,108862556.212,7116976.557,20193483.049,12842930.671,181288940.952,128137073.45,72426384.74,13076506.492,19274517.238,5725954.114
11037,0.184,99080291.09,6635241.339,17111910.707,14066892.358,166617644.979,118316523.943,67537353.889,10476669.368,19236232.853,7431651.019
11038,0.176,77164276.296,5343357.05,15002749.863,9024469.624,154249703.234,108664403.51,77085426.937,9659392.813,31500127.213,3681112.574
11039,0.191,83169479.655,5796758.58,18600813.016,11287579.01,159684963.183,113684536.616,76515483.528,12804054.436,30515056.961,5490820.43
11040,0.16,84290059.263,5486713.488,15160421.837,9656324.864,138185147.482,109165983.089,53895088.218,9673708.348,24875923.826,4169611.375
11041,0.189,88632155.672,6101239.462,20240494.401,11509335.81,184441290.147,121303366.912,95809134.476,14139254.939,32671211.241,5408096.349
