rjbmo06,totes,sumofzero,sumofone,OnePercent,ZeroPercent
[-7] Not able to be determined,3,1,2,66.7,33.3
[1000] Managers - NFI,1,1,0,0.0,100.0
[1111] Chief Executives and Managing Directors,19,16,3,15.8,84.2
[1112] General Managers,44,42,2,4.5,95.5
[1113] Legislators,3,1,2,66.7,33.3
[1210] Farmers and Farm Managers,3,0,3,100.0,0.0
[1211] Aquaculture Farmers,1,0,1,100.0,0.0
[1212] Crop Farmers,35,9,26,74.3,25.7
[1213] Livestock Farmers,61,6,55,90.2,9.8
[1214] Mixed Crop and Livestock Farmers,23,3,20,87.0,13.0
[1300] Specialist Managers,62,58,4,6.5,93.5
"[1311] Advertising, Public Relations and Sales Managers",124,116,8,6.5,93.5
[1320] Business Administration Managers,7,6,1,14.3,85.7
[1321] Corporate Services Managers,3,3,0,0.0,100.0
[1322] Finance Managers,42,40,2,4.8,95.2
[1323] Human Resource Managers,26,25,1,3.8,96.2
[1324] Policy and Planning Managers,35,35,0,0.0,100.0
[1325] Research and Development Managers,10,10,0,0.0,100.0
"[1330] Construction, Distribution and Production Managers",12,11,1,8.3,91.7
[1331] Construction Managers,54,39,15,27.8,72.2
[1332] Engineering Managers,16,16,0,0.0,100.0
"[1333] Importers, Exporters and Wholesalers",15,8,7,46.7,53.3
[1334] Manufacturers,29,12,17,58.6,41.4
[1335] Production Managers,55,51,4,7.3,92.7
[1336] Supply and Distribution Managers,28,27,1,3.6,96.4
[1341] Child Care Centre Managers,16,15,1,6.3,93.8
[1342] Health and Welfare Services Managers,39,38,1,2.6,97.4
[1343] School Principals,38,38,0,0.0,100.0
[1344] Other Education Managers,29,26,3,10.3,89.7
[1351] ICT Managers,82,75,7,8.5,91.5
[1391] Commissioned Officers (Management),8,7,1,12.5,87.5
[1392] Senior Non-commissioned Defence Force Members,3,3,0,0.0,100.0
[1399] Other Specialist Managers,80,77,3,3.8,96.3
[1410] Accommodation and Hospitality Managers,1,1,0,0.0,100.0
[1411] Cafe and Restaurant Managers,34,12,22,64.7,35.3
[1412] Caravan Park and Camping Ground Managers,5,2,3,60.0,40.0
[1413] Hotel and Motel Managers,6,5,1,16.7,83.3
[1414] Licensed Club Managers,6,3,3,50.0,50.0
[1419] Other Accommodation and Hospitality Managers,11,2,9,81.8,18.2
[1421] Retail Managers,157,113,44,28.0,72.0
"[1490] Miscellaneous Hospitality, Retail and Service Managers",1,1,0,0.0,100.0
"[1491] Amusement, Fitness and Sports Centre Managers",12,8,4,33.3,66.7
[1492] Call or Contact Centre and Customer Service Managers,35,35,0,0.0,100.0
[1493] Conference and Event Organisers,25,16,9,36.0,64.0
[1494] Transport Services Managers,9,6,3,33.3,66.7
"[1499] Other Hospitality, Retail and Service Managers",58,50,8,13.8,86.2
[2000] Professionals,28,19,9,32.1,67.9
[2100] Arts and Media Professionals,3,0,3,100.0,0.0
[2110] Arts Professionals,3,0,3,100.0,0.0
"[2111] Actors, Dancers and Other Entertainers",11,1,10,90.9,9.1
[2112] Music Professionals,3,0,3,100.0,0.0
[2113] Photographers,15,0,15,100.0,0.0
[2114] Visual Arts and Crafts Professionals,6,0,6,100.0,0.0
[2120] Media Professionals,6,3,3,50.0,50.0
"[2121] Artistic Directors, and Media Producers and Presenters",6,4,2,33.3,66.7
"[2122] Authors, and Book and Script Editors",2,1,1,50.0,50.0
"[2123] Film, Television, Radio and Stage Directors",13,11,2,15.4,84.6
[2124] Journalists and Other Writers,24,19,5,20.8,79.2
"[2200] Business, Human Resource and Marketing Professionals",9,8,1,11.1,88.9
"[2210] Accountants, Auditors and Company Secretaries",3,3,0,0.0,100.0
[2211] Accountants,105,91,14,13.3,86.7
"[2212] Auditors, Company Secretaries and Corporate Treasurers",18,16,2,11.1,88.9
"[2220] Financial Brokers and Dealers, and Investment Advisers",2,1,1,50.0,50.0
[2221] Financial Brokers,19,12,7,36.8,63.2
[2222] Financial Dealers,19,18,1,5.3,94.7
[2223] Financial Investment Advisers and Managers,22,22,0,0.0,100.0
[2231] Human Resource Professionals,54,51,3,5.6,94.4
[2232] ICT Trainers,4,3,1,25.0,75.0
[2233] Training and Development Professionals,14,12,2,14.3,85.7
[2240] Information and Organisation Professionals,3,3,0,0.0,100.0
"[2241] Actuaries, Mathematicians and Statisticians",13,12,1,7.7,92.3
"[2242] Archivists, Curators and Records Managers",8,8,0,0.0,100.0
[2243] Economists,6,3,3,50.0,50.0
[2244] Intelligence and Policy Analysts,31,30,1,3.2,96.8
[2245] Land Economists and Valuers,10,9,1,10.0,90.0
[2246] Librarians,11,9,2,18.2,81.8
[2247] Management and Organisation Analysts,54,37,17,31.5,68.5
[2249] Other Information and Organisation Professionals,27,27,0,0.0,100.0
"[2250] Sales, Marketing and Public Relations Professionals",2,2,0,0.0,100.0
[2251] Advertising and Marketing Professionals,55,45,10,18.2,81.8
[2252] ICT Sales Professionals,21,19,2,9.5,90.5
[2253] Public Relations Professionals,23,20,3,13.0,87.0
[2254] Technical Sales Representatives,39,39,0,0.0,100.0
"[2300] Design, Engineering, Science and Transport Professionals",1,0,1,100.0,0.0
[2311] Air Transport Professionals,14,14,0,0.0,100.0
[2312] Marine Transport Professionals,16,12,4,25.0,75.0
[2321] Architects and Landscape Architects,22,19,3,13.6,86.4
[2322] Surveyors and Spatial Scientists,12,11,1,8.3,91.7
"[2323] Fashion, Industrial and Jewellery Designers",6,3,3,50.0,50.0
"[2324] Graphic and Web Designers, and Illustrators",40,24,16,40.0,60.0
[2325] Interior Designers,10,6,4,40.0,60.0
[2326] Urban and Regional Planners,16,13,3,18.8,81.3
[2330] Engineering Professionals,5,4,1,20.0,80.0
[2331] Chemical and Materials Engineers,5,4,1,20.0,80.0
[2332] Civil Engineering Professionals,35,33,2,5.7,94.3
[2333] Electrical Engineers,13,12,1,7.7,92.3
[2334] Electronics Engineers,2,2,0,0.0,100.0
"[2335] Industrial, Mechanical and Production Engineers",20,15,5,25.0,75.0
[2336] Mining Engineers,4,4,0,0.0,100.0
[2339] Other Engineering Professionals,6,5,1,16.7,83.3
[2341] Agricultural and Forestry Scientists,10,6,4,40.0,60.0
"[2342] Chemists, and Food and Wine Scientists",9,8,1,11.1,88.9
[2343] Environmental Scientists,24,18,6,25.0,75.0
[2344] Geologists and Geophysicists,6,5,1,16.7,83.3
[2345] Life Scientists,11,8,3,27.3,72.7
[2346] Medical Laboratory Scientists,22,18,4,18.2,81.8
[2347] Veterinarians,10,7,3,30.0,70.0
[2349] Other Natural and Physical Science Professionals,13,9,4,30.8,69.2
[2400] Education Professionals,19,7,12,63.2,36.8
[2410] School Teacher,30,21,9,30.0,70.0
[2411] Early Childhood (Pre-Primary School) Teachers,26,22,4,15.4,84.6
[2412] Primary School Teachers,194,172,22,11.3,88.7
[2413] Mobile School Teachers (Aus) / Intermediate School Teachers,2,1,1,50.0,50.0
[2414] Secondary School Teachers,196,174,22,11.2,88.8
[2415] Special Education Teachers,37,36,1,2.7,97.3
[2420] Tertiary Education Teachers,2,2,0,0.0,100.0
[2421] University Lecturers and Tutors,58,34,24,41.4,58.6
[2422] Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),31,23,8,25.8,74.2
[2491] Education Advisers and Reviewers,12,10,2,16.7,83.3
[2492] Private Tutors and Teachers,33,1,32,97.0,3.0
[2493] Teachers of English to Speakers of Other Languages,7,2,5,71.4,28.6
[2500] Health Professionals,1,1,0,0.0,100.0
[2511] Dietitians,8,6,2,25.0,75.0
[2512] Medical Imaging Professionals,18,15,3,16.7,83.3
[2513] Occupational and Environmental Health Professionals,21,19,2,9.5,90.5
